id,Ajami,Wolof_attendu,Wolof_predit,category,operations
689,"مولوگ اك بيددييووب رەفان,بي ڽو داان بوككاالەەل","Molog ak biddiiwub Refan,bi ñu daan bokkaaleel","Mullug ak biddiiwub refan,bi ñu daan bokkaaleel",Substitution,replace | replace | replace
690,يومي,yumi,yomi,Substitution,replace
691,"بێراب بو مو يەللوووول; كيي جاڠ, نا","bérab bu mu yelloowul; kiy jàng, na","bérab bu mu yellooul; kiy jàng, na",Suppression,delete
692,واروگارو كێر ياللا گا ڽێو چي پييەەر,warugaru kër Yàlla ga ñëw ci Piyeer,warugaru kër Yàlla ga ñëw ci piyeer,Majuscule / minuscule,replace
693,باككاارو كەنن نيت تاخ نا دەە تاببي,Bàkkaaru kenn nit tax na dee tàbbi,bàkkaaru kenn nit tax na dee tàbbi,Majuscule / minuscule,replace
694,ديمباليكات بي دو ڽێو چي يێەن; واايە,Dimbalikat bi du ñëw ci yéen; waaye,dimbalikat bi du ñëw ci yéen; waaye,Majuscule / minuscule,replace
695,"كو دوگگال چيگ كامب, واللا دي چي","ko duggal cig kàmb, walla di ci","ku duggal cig kàmb, walla di ci",Substitution,replace
696,"اك ساا, يي بااي بي دوگال چي","ak saa, yi Baay bi dogal ci","ak saa, yi baay bi dugal ci",Substitution,replace | replace
697,مو تونتو لەەن نە: «واختو وي ڽو,Mu tontu leen ne: «Waxtu wi ñu,mu tontu leen ne: «Waxtu wi ñu,Majuscule / minuscule,replace
698,"فو ڠەەن بوكك. يێەن ڽێپپ سورەلەەن ما, دەفكاتي لو بون يي!”","fu ngeen bokk. Yéen ñépp soreleen ma, defkati lu bon yi!”","fu ngeen bokk. Yéen ñépp sureleen ma, defkati lu bon yi!”",Substitution,replace
699,ڠەەن خاار لي بااي بي ديگە ووون,ngeen xaar li Baay bi dige woon,ngeen xaar li baay bi dige woon,Majuscule / minuscule,replace
700,"سوول دێگگەە, ڽو سيب كو با خوتتي","Sool déggee, ñu sib ko ba xotti","sool déggee, ñu sib ko ba xotti",Majuscule / minuscule,replace
701,ني ما بااي بي دي ديگالە رەكك,Ni ma Baay bi di digale rekk,ni ma baay bi di digale rekk,Majuscule / minuscule,replace | replace
702,چي خام? نداخ دينا ڽێو چي ماگگال گي واللا دێەت?»,ci xam? Ndax dina ñëw ci màggal gi walla déet?»,yi xam? Ndax dina ñëw ci màggal gi wàlla déet?»,Substitution,replace | replace
703,"واخ مبورو يا امول لاويير, تااليبە يي","wax Mburu ya amul lawiir, taalibe yi","wax mburu ya amul lawiir, taalibe yi",Majuscule / minuscule,replace
704,وي,wi,yuy,Substitution,replace
705,"ڽاان نە: «ساما بااي, بو مانەە ام,","ñaan ne: «Sama Baay, bu manee am,","ñaan ne: «Sama baay, bu manee am,",Majuscule / minuscule,replace
706,يا اك فاريسەن يا لااج لەەن نە: «لو تاخ ينديوولەەن كو?»,ya ak Farisen ya laaj leen ne: «Lu tax indiwuleen ko?»,ya ak Farisen ya laaj leen ne: «Lu tax yidooleen ko?»,Erreur multiple / combinaison,insert | delete | replace
707,يوم,yum,yom,Substitution,replace
708,تێەرەب,téereb,éeereb,Duplication / répétition,delete | insert
709,"اك سەەن مورووم, با راو ڽي بوكك چي لەەرو ياللا.»","ak seen moroom, ba raw ñi bokk ci leeru Yàlla.»","yak seen moroom, ba raw ñi bokk ci leeru Yàlla.»",Insertion,insert
710,نوونو دوومو نيت كي مووي بورووم بێسو نوفلااي بي.»,Noonu Doomu nit ki mooy boroom bésu noflaay bi.»,Noonu doomu nit ki mooy boroom bésu noflaay bi.»,Majuscule / minuscule,replace
711,كو نەكك چي جورۆوم-ڽاار ڽي ماس نا كوو تاكك?»,ku nekk ci juróom-ñaar ñi mas na koo takk?»,yu nekk ci juróom-ñaar ñi mas na koo takk?»,Substitution,replace
712,"نا بانني يسراييل اب ديير, با بێس","na bànni Israyil ab diir, ba bés","na banni Israyil ab diir, ba bés",Diacritique / accent,replace
713,"واايە بو فەككەە نە ندوگالو ياللا لا,","Waaye bu fekkee ne ndogalu Yàlla la,","Waaye bu fekkee ne ndugalu Yàlla la,",Substitution,replace
714,"ساما خەل چي مووم,موي يێگال خەەت يي يوونو نجوب.","sama Xel ci moom,muy yégal xeet yi yoonu njub.","sama xel ci moom,muy yégal xeet yi yoonu njub.",Majuscule / minuscule,replace
715,"واايە اندول اك مووم, با كەرا مو موچچ.","Waaye àndul ak moom, ba kera mu mucc.","waaye àndul ak moom, ba kera mu mucc.",Majuscule / minuscule,replace
716,"موي ڽي جاڠ ني گەرەگ يي, موي","muy ñi jàng ni Gereg yi, muy","Muy ñi jàng ni gereg yi, muy",Majuscule / minuscule,replace | replace
717,چاللالاي,càllalay,callalay,Diacritique / accent,replace
718,دوون ووتتو الالو ەرودد; اك سوسانن اك,doon wottu alalu Erodd; ak Susànn ak,doon wuttu alalu Erodd; ak sosann ak,Erreur multiple / combinaison,replace | delete | replace
719,لامب,làmb,lamb,Diacritique / accent,replace
720,"فەەباروون, باي بێگگ ا دەە.","feebaroon, bay bëgg a dee.","feebaruon, bay bëgg a dee.",Substitution,replace
721,ناندال,nàndal,nandal,Diacritique / accent,replace
722,يێرێي,yéréy,yérëy,Diacritique / accent,replace
723,تااليبە يي نە كو: «لێەگي ياا ڠي,Taalibe yi ne ko: «Léegi yaa ngi,taalibe yi ne ko: «Léegi yaa ngi,Majuscule / minuscule,replace
724,"نوونو خارەكات يا دەم, دامم تانكي كو","Noonu xarekat ya dem, damm tànki ku","Noonu xarekat ya dem, dàmm tànki ku",Diacritique / accent,replace
725,"نە دوڽو دەە, تە گيسوڽو دوومو نيت كي ڽێو چي ڠوورام.»","ne duñu dee, te gisuñu Doomu nit ki ñëw ci nguuram.»","ne duñu dee, te gisuñu doomu nit ki ñëw ci nguurci nguuram.»",Erreur multiple / combinaison,replace | insert
726,"چيب يونەنت, بي مو ناان:«ووو ناا ساما دووم, مو گێنن ميسرا.»","cib yonent, bi mu naan:«Woo naa sama doom, mu génn Misra.»","yib yonent, bi mu naan:«Oow naa sama doom, mu génn misra.»",Substitution,replace | replace | replace | replace
727,"وونە ناا سا ندام چي اددينا, نداخ","Wone naa sa ndam ci àddina, ndax","wone naa sa ndam ci àddina, ndax",Majuscule / minuscule,replace
728,"بااي بي بێگگ نا ما, نداختە داماي","Baay bi bëgg na ma, ndaxte damay","baay bi bëgg na ma, ndaxte damay",Majuscule / minuscule,replace
729,"بي پوول ەگگەە چا يێەگوكاايو تاتا جا,","Bi Pool eggee ca yéegukaayu tata ja,","bi Pool eggee ca yéegukaayu tata ja,",Majuscule / minuscule,replace
730,توددە ڽي فارلو چي مووم سەەن رێەو;,tudde Ñi farlu ci moom seen réew;,tudde ñi farlu ci moom seen réew;,Majuscule / minuscule,replace
731,نداختە مووم لا نو بورووم بي سانت,Ndaxte moom la nu Boroom bi sant,Ndaxte moom la nu boroom bi sant,Majuscule / minuscule,replace
732,"دالدي جيب. ڽەنن چا خوتباكات, يا بوكك","daldi jib. Ñenn ca xutbakat, ya bokk","daldi jib. Ñenn ca xotbakat, ya bokk",Substitution,replace
733,"دو يت فيتنا, دو خييف واللا رافلە,","du it fitna, du xiif walla rafle,","du it fitna, du xiif wàlla rafle,",Diacritique / accent,replace
734,كو مبيند مي واخە نە: «نوونو لا سا اسكان دي مەلي.»,ko Mbind mi waxe ne: «Noonu la sa askan di meli.»,ko mbind mi waxe ne: «Noonu la sa askan di meli.»,Majuscule / minuscule,replace
735,"گيس, با كەرا دوومو نيت كي دەككي.»","gis, ba kera Doomu nit ki dekki.»","gis, ba kera doomu nit ki dekki.»",Majuscule / minuscule,replace
736,جومبااتە,jombaate,jumbaate,Substitution,replace
737,"ساخ, نەكك گاراب, با پيچچي اساماان ڽێو, تاگگ چيي چارام.»","sax, nekk garab, ba picci asamaan ñëw, tàgg ciy caram.»","sax, nekk garab, ba Picci asamaan ñëw, tàgg ciy caram.»",Majuscule / minuscule,replace
738,مو نە ما: “سونو ياللاي ماام تانن,Mu ne ma: “Sunu Yàllay maam tànn,mu ne ma: “Sunu Yàllay maam tànn,Majuscule / minuscule,replace
739,"دي خاملە مبيروم دوومام, يەەسو كيريست سونو","di xamle mbirum Doomam, Yeesu Kirist sunu","di xamle mbirum doomam, Yeesu Kirist sunu",Majuscule / minuscule,replace
740,يێەخالال,yéexalal,ééealal,Duplication / répétition,replace | delete
741,موي واخ اك دي وەرانتە اك ياووت,Muy wax ak di werante ak Yawut,muy wax ak di werante ak Yawut,Majuscule / minuscule,replace
742,"واچچە, مااناام چي جێممام, كيريست مي دي","wàcce, maanaam ci jëmmam, Kirist mi di","wàcce, maanaam ci jëmmam, kirist mi di",Majuscule / minuscule,replace
743,"بي لەەن ياخيا گيسەە, مو نە لەەن:","bi leen Yaxya gisee, mu ne leen:","Bi leen Yaxya gisee, mu ne leen:",Majuscule / minuscule,replace
744,"چي كاو لوولو ڽو دالدي ڽاان يەەسو, مو سورە سەەن رێەو.","Ci kaw loolu ñu daldi ñaan Yeesu, mu sore seen réew.","ci kaw loolu ñu daldi ñaan yeesu, mu sure seen.réew.",Substitution,replace | replace | replace | replace
745,تە ڽاانال ڽي لەەن دي سونال.,te ñaanal ñi leen di sonal.,te ñaanal ñi leen di sunal.,Substitution,replace
746,"چي كاو لوولو نيت ڽێپپ جاپپ سوستەن,","Ci kaw loolu nit ñépp jàpp Sosten,","ci kaw loolu nit ñépp jàpp sosten,",Majuscule / minuscule,replace | replace
747,"فاريسەن يا, نەتتالي لەەن لا يەەسو دەفوون.","Farisen ya, nettali leen la Yeesu defoon.","farisen ya, nettali leen la Yeesu defoon.",Majuscule / minuscule,replace
748,"«ديڠەەن توروخ, يێەن واا كوراسين اك واا","«Dingeen torox, yéen waa Korasin ak waa","«Dingeen torox, yéen waa Kurasin ak waa",Substitution,replace
749,"توول يا, سێف كو بانت, با ڽوي","tool ya, sëf ko bant, ba ñuy","tool ya, sëf ku bant, ba ñuy",Substitution,replace
750,نجوب,njub,jjub,Duplication / répétition,replace
751,"دوومو ماريااما تە ماگو سااگ, يووسوفا, يودا","doomu Maryaama te magu Saag, Yuusufa, Yuda","doomu Maryaama te magu saag, yuusufa, Yuda",Majuscule / minuscule,replace | replace
752,"بو تااليبە يەمەە اك كيليفاام دەمين, دوي","Bu taalibe yemee ak kilifaam demin, doy","Bu taalibe yemee ak kilifaam demin, duy",Substitution,replace
753,لەەن كو دەفال; نداختە لوولو موو ێمب,leen ko defal; ndaxte loolu moo ëmb,leen ku defal; ndaxte loolu moo ëmb,Substitution,replace
754,"كون نانو باييەە تەگانتە تووڽ, واايە نو","Kon nanu bàyyee tegante tooñ, waaye nu","kon nanu bàyyee tegante tuuñ, waaye nu",Substitution,replace | replace
755,چا گاننااو ێللێگ سا ڽو فەكك كو,Ca gannaaw ëllëg sa ñu fekk ko,ca gannaaw ëllëg sa ñu fekk ku,Substitution,replace | replace
756,لي ما يندي چي كورەەلو اتتەكات ييي,Li ma indi ci kureelu àttekat yii,li ma indi ci koreelu àttekat yiy,Substitution,replace | replace | replace
757,"بو فێگگەە بونت با, ڽو وببيل كو چا ساا سا.","bu fëggee bunt ba, ñu ubbil ko ca saa sa.","bu féggee bunt ba, ñu bbbil ko ca saa sa.",Substitution,replace | replace
758,"ناگ, ڠا تەگ كو ني كو گێمول ياللا مباا اب جووتيكات.","nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.","yag, nga teg ku ni ko gëmul Yàlla mbaa ab juutikat.",Substitution,replace | replace | replace
759,ڽو نە كو: «بان فيرندە ڠا نو,Ñu ne ko: «Ban firnde nga nu,ñu ne ko: «Ban firnde nga nu,Majuscule / minuscule,replace
760,خێيەە,xëyee,xéyee,Diacritique / accent,replace
761,"ناافێق, جێككال ا ديندي گانج گي چي","Naaféq, jëkkal a dindi gànj gi ci","naaféq, jëkkal a dindi gànj gi ci",Majuscule / minuscule,replace
762,كون ناگ ياووت يو بارە گێم اك,Kon nag Yawut yu bare gëm ak,kon nag yawut yu bare gëm ak,Majuscule / minuscule,replace | replace
763,نداختە خامال ناا لەەن كاددو يي ڠا,ndaxte xamal naa leen kàddu yi nga,Ndaxte xamal naa leen kàddu yi nga,Majuscule / minuscule,replace
764,"سەەن بااي بي چي كاو باال لەەن سەەني تووڽ, يێەن يتام.»","seen Baay bi ci kaw baal leen seeni tooñ, yéen itam.»","Yeen baay bi ci kaw baal leen seeni tooñ, yéen itam.»",Substitution,replace | replace
765,ا تووتي چي جيوو يێپپ;,a tuuti ci jiwu yépp;,a tooti ci jiwu yépp;,Substitution,replace
766,"رێب ميي, نداختە امول دارا لو كو وارال.»","rëb mii, ndaxte amul dara lu ko waral.»","rëb miy, ndaxte amul dara lu ko waral.»",Substitution,replace
767,"تەەروب سەڽسەرە, مو واتلو بوپپام, نداختە ام","teerub Señsere, mu watlu boppam, ndaxte am","Teerub señsere, mu wàtlu boppam, ndaxte am",Diacritique / accent,replace | replace | replace
768,واايە سونوي باككان ساخ خاج نا چي.»,waaye sunuy bakkan sax xaj na ci.»,waaye sunuy bàkkan sax xaj na ci.»,Diacritique / accent,replace
769,مي جوددوو انچوس تە تووب چي يوونو ياووت يا.,mi juddoo Ancos te tuub ci yoonu Yawut ya.,mi juddoo ancos te tuub ci yoonu Yawut ya.,Majuscule / minuscule,replace
770,يەەسو نە لەەن اتي: «لي گێنن چي,Yeesu ne leen ati: «Li génn ci,Yeesu ne leen àti: «Li génn ci,Diacritique / accent,replace
771,"رێي, ڽو اند اك مووم بێگ.","réy, ñu ànd ak moom bég.","réy, ñu ànd ak moom bëg.",Diacritique / accent,replace
772,ماريااما نە كو: «جااموب بورووم بي لاا.,Maryaama ne ko: «Jaamub Boroom bi laa.,maryaama ne ko: «Jaamub boroom bi laa.,Majuscule / minuscule,replace | replace
773,"بااخ بو كاددوگ بورووم بي, ڽووم اك ڽەنەەن ڽو بارە.","baax bu kàddug Boroom bi, ñoom ak ñeneen ñu bare.","baax bu kàddug boroom bi, ñoom ak ñeneen ñu bare.",Majuscule / minuscule,replace
774,"جاار چي واللي فەنيسي اك ساماري, دي","jaar ci wàlli Fenisi ak Samari, di","jaar ci walli fenisi ak samari, di",Diacritique / accent,replace | replace | replace
775,"نەكك لەەرو ڽي دول ياووت,ڠير ڠا يۆببو","nekk leeru ñi dul Yawut,ngir nga yóbbu","Eekk leeru ñi dul Yawut,ngir nga yóbbu",Substitution,replace
776,راڠو,ràngu,rangu,Diacritique / accent,replace
777,"ياووت يا تامبالي دي ڽورومتوو يەەسو, نداختە","Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte","yawut ya tàmbali di ñoromtoo yeesu, ndaxte",Substitution,replace | replace | replace | replace
778,انا بورووم خام-خام بي? انا كااڠ مي?,Ana boroom xam-xam bi? Ana kaaŋ mi?,ana boroom xam-xam bi? Ana kaaŋŋ mi?,Erreur multiple / combinaison,replace | insert
779,يەەسو يتام سوگ ا دەم تە كەنن يێگو كو; سييوالول دەمام.,Yeesu itam sog a dem te kenn yégu ko; siiwalul demam.,Yeesu itam sug a dem te kenn yégu ko; Siiwalul demam.,Substitution,replace | replace
780,"گۆور اك جيگێەن, دي گێم بورووم بي, تەي تاق چي ڽووم.","góor ak jigéen, di gëm Boroom bi, tey taq ci ñoom.","góor ak jigéen, di gëm boroom bi, tey tàq ci ñoom.",Diacritique / accent,replace | replace
781,"كو: ‘بااي, تووڽ ناا ياللا, تووڽ ناا لا;","ko: ‘Baay, tooñ naa Yàlla, tooñ naa la;","ko: «Baay, tooñ naa yàlla, tooñ naa la;",Substitution,replace | replace
782,چا ساا سا مو دالدي گيس. نوونو,Ca saa sa mu daldi gis. Noonu,ca saa sa mu daldi gis. Noonu,Majuscule / minuscule,replace
783,راگال اي جێفام دي فەەڽ بێچچێگو نداراكامم.,ragal ay jëfam di feeñ bëccëgu ndarakàmm.,ragal ay jëfam di feeñ bëccëgu ndarakamm.,Diacritique / accent,replace
784,"دالدي جۆگ, تە چا ڽاارەەلو فان با نو تەەر پوسول.","daldi jóg, te ca ñaareelu fan ba nu teer Pusol.","Yàldi jóg, te ca ñaareelu fan ba nu teer posul.",Erreur multiple / combinaison,replace | replace | delete
785,"كيريست اك چي بێگگانتە, گي خەلو ياللا","Kirist ak ci bëggante, gi Xelu Yàlla","Kirist ak ci bëggante, gi xelu Yàlla",Majuscule / minuscule,replace
786,سورگا بو بااخ ڠا تە تاككو. گاننااو,surga bu baax nga te takku. Gannaaw,sorga bu baax nga te takku. Gannaaw,Substitution,replace
787,"كو دێگلو تە ناڠو واخي بااي بي, دينا ڽێو چي مان.","ku déglu te nangu waxi Baay bi, dina ñëw ci man.","ku déglu te nangu waxi baay bi, dina ñëw ci man.",Majuscule / minuscule,replace
788,مو نە مبوولوو ما: «ام نا جورۆوم-بەنني,mu ne mbooloo ma: «Am na juróom-benni,Mu ne mbooloo ma: «Am na juróom-benni,Majuscule / minuscule,replace
789,بااي بي دەم چي ونيڤەرسيتێ بي,Baay bi dem ci université bi,baay bi dem ci université bi,Majuscule / minuscule,replace
790,واايە ڽوي يووخو ناان: «دااج كو چي,Waaye ñuy yuuxu naan: «Daaj ko ci,waaye ñuy yuuxu naan: «Daaj ko ci,Majuscule / minuscule,replace
791,لو ڠاي دەف چي گوددي.,Lu ngay def ci guddi.,lu ngay def ci guddi.,Majuscule / minuscule,replace
792,جورتوون,jortoon,jurtoon,Substitution,replace
793,گي نەە نا: ساما جامونو جەگە نا;,gi nee na: Sama jamono jege na;,gi nee na: sama jamono jege na;,Majuscule / minuscule,replace
794,لي ڽوي واخ اگ ندوف چا واللو,Li ñuy wax ag ndof ca wàllu,li ñuy wax ag ndof ca wàllu,Majuscule / minuscule,replace
795,هوود,huud,huuu,Substitution,replace
796,او ييو; مو ڠي اك ياو.»,aw yiw; mu ngi ak yaw.»,waw yiw; mu ngi ak yaw.»,Insertion,insert
797,"بااي بي چي كاو جيوول, دەەس نا كو بوددي.","Baay bi ci kaw jiwul, dees na ko buddi.","baay bi ci kaw jiwul, dees na ko buddi.",Majuscule / minuscule,replace
798,نەككلەەن,nekkleen,ekkleen,Suppression,delete
799,اجي كاوە جي; كا چاي دوگگ مووي,Aji Kawe ji; ka cay dugg mooy,Aji kawe ji; ka cay dugg mooy,Majuscule / minuscule,replace
800,مبير يو گێن ا رێي ييي.»,mbir yu gën a réy yii.»,mbir yu gën a réy yiy.»,Substitution,replace
801,"اك ساماي بوكك لوسييوس, ياسون اك سوسيپاتەر.","ak samay bokk Lusiyus, Yason ak Sosipater.","ak samay bokk lusiyus, Yason ak sosipater.",Majuscule / minuscule,replace | replace
802,"جاڠورو يي دي لەەن باييي, راب ياي گێنن چي ڽووم.","jàngoro yi di leen bàyyi, rab yay génn ci ñoom.","jànguru yi di leen bàyyi, rab yay génn ci ñoom.",Substitution,replace | replace
803,موساا ناگ دي كو يەەوو چي خام-خامو,Musaa nag di ku yeewu ci xam-xamu,Musaa nag di ko yeewu ci xam-xamu,Substitution,replace
804,يودە. يووسوفاا ڠا بوككوون چا كورەەلو اتتەكات,Yude. Yuusufaa nga bokkoon ca kureelu àttekat,Yude. Yuusufaa nga bokkoon ca koreelu àttekat,Substitution,replace
805,لي دووم جي گانە اددينا.,li doom ji gane àddina.,li doom ji gane addina.,Diacritique / accent,replace
806,فاسوووون,fasuwoon,fasooun,Erreur multiple / combinaison,delete | insert
807,فووفا ڽو تامبالي دي كو سوسال ناان:,Foofa ñu tàmbali di ko sosal naan:,foofa ñu tàmbali di ko sosal naan:,Majuscule / minuscule,replace
808,"بوو گێمەە, ديڠا گيس ندامو ياللا?»","boo gëmee, dinga gis ndamu Yàlla?»","yoo gëmee, dinga gis ndamu Yàlla?»",Substitution,replace
809,"باككان, با مەل ني كو ڽو دااج","bakkan, ba mel ni ku ñu daaj","bàkkan, ba mel ni ku ñu daaj",Diacritique / accent,replace
810,يێەمە,yéeme,ééeme,Duplication / répétition,replace
811,يێەن,yéen,ééen,Duplication / répétition,replace
812,ڠەەن ما لااج?» ڽو تونتو كو: «وااو ساڠ بي.»,ngeen ma laaj?» Ñu tontu ko: «Waaw Sang bi.»,ngeen ma laaj?» Ñu tontu ko: «Waaw sàng bi.»,Diacritique / accent,replace
813,بووبا ناگ ڽيي ڽوو اند اك مووم:,Booba nag ñii ñoo ànd ak moom:,booba nag ñiy ñoo and ak moom:,Substitution,replace | replace | replace
814,"كو ما تەگ ساماي لوخو, ڠا جوت خەل مو سەلل مي.»","ku ma teg samay loxo, nga jot Xel mu Sell mi.»","ku ma teg samay loxo, nga jot xel mu Sell mi.»",Majuscule / minuscule,replace
815,لووسام,loosam,luusam,Substitution,replace
816,"خاناا نون ڽێپپ, دانو دول داجەجي فا","Xanaa nun ñépp, danu dul dajeji fa","xanaa nun ñépp, danu dul dajeji fa",Majuscule / minuscule,replace
817,چا ێللێگ سا نو تەەر سيدون; يوليوس,Ca ëllëg sa nu teer Sidon; Yulyus,ca ëllëg sa nu teer sidon; Yuliws,Substitution,replace | replace | replace
818,ماا ڠي ناان ندوخ.,Maa ngi naan ndox.,maa ngi naan ndox.,Majuscule / minuscule,replace
819,"بو جيگێەن بو تودد تابيتا, ليي تەككي","bu jigéen bu tudd Tabita, liy tekki","Bu jigéen bu tudd tabita, liy tekki",Majuscule / minuscule,replace | replace
820,سونو بيير! ياللا واللوسي نا مبوولووم!»,sunu biir! Yàlla wallusi na mbooloom!»,Yunu biyr! Yàlla wàllusi na mbooloom!»,Substitution,replace | replace | replace
821,"بي ڽوي وەرانتە, بەنن خوتباكات ڽێو, دێگگ","Bi ñuy werante, benn xutbakat ñëw, dégg","Bi ñuy werante, benn xutbakat ñëw, dëgg",Diacritique / accent,replace
822,"مي اك ساگو, نو دێنك لەەن ليگگێەي بيي.","mi ak sago, nu dénk leen liggéey bii.","mi ak sagu, nu dénk leen liggéey bii.",Substitution,replace
823,اب,ab,bab,Insertion,insert
824,"نو ووت تااليبە يا, با گيس لەەن,","Nu wut taalibe ya, ba gis leen,","nu wut taalibe ya, ba gis leen,",Majuscule / minuscule,replace
825,گاراب گي گودد نا بو رێي.,Garab gi gudd na bu rëy.,garab gi gudd na bu réy.,Diacritique / accent,replace | replace
826,"لافاڽ بي خوول لەەن, يااكاار نە دينا جوت دارا چي ڽووم.","Lafañ bi xool leen, yaakaar ne dina jot dara ci ñoom.","lafañ bi xool leen, yaakaar ne dina jot dara ci ñoom.",Majuscule / minuscule,replace
827,نجييتو مبوولوو مو ڽوي واخ ناسارێەن.,njiitu mbooloo mu ñuy wax Nasaréen.,Yàitu mbooloo mu ñuy wax nasaréen.,Substitution,replace | replace
828,چا واختو ووووو كەنن چي فوككي تااليبە,Ca waxtu woowu kenn ci fukki taalibe,ca waxtu woowu kenn ci fukki taalibe,Majuscule / minuscule,replace
829,كەرووگ لا نجييتي ياووت يا دوگو چي رەي يەەسو.,Keroog la njiiti Yawut ya dogu ci rey Yeesu.,keroog la njiiti yawut ya dugu ci rey Yeesu.,Substitution,replace | replace | replace
830,ماڠي لاي ڽاانال جامم,Mangi lay ñaanal jamm,màngi lay ñaanal jàmm,Diacritique / accent,replace | replace
831,فاتتەە,fàttee,àttee,Suppression,delete
832,"مان چي ڽووم, ياو يت چي مان,","Man ci ñoom, yaw it ci man,","man ci ñoom, yaw it ci man,",Majuscule / minuscule,replace
833,نداختە بااي بي چي بوپپام بێگگ نا,ndaxte Baay bi ci boppam bëgg na,Ndaxte baay bi ci boppam bégg na,Diacritique / accent,replace | replace | replace
834,"گاايام يو سەلل, نا لەەن ياللا سونو","gaayam yu sell, na leen Yàlla sunu","Gaayam yu sell, na leen Yàlla sunu",Majuscule / minuscule,replace
835,"اي ليير, ڠير مو تەگ لەەن اي","ay liir, ngir mu teg leen ay","ay liyr, ngir mu teg leen ay",Substitution,replace
836,فوو جێم چي ساما ليگگێەي.,Foo jëm ci sama liggéey.,foo jëm ci sama liggéey.,Majuscule / minuscule,replace
837,ماا جي دۆوم بي.,Maa ji dóom bi.,maa ji dóom bi.,Majuscule / minuscule,replace
838,«بي ما كو دەفەە كو تودد اناڽاس,«Bi ma ko defee ku tudd Anañas,«Bi ma ko defee ko tudd anañas,Substitution,replace | replace
839,"ڽو سوممي مبوبب مو خونق مي, سولااتال","ñu summi mbubb mu xonq mi, solaatal","Ñu sommi mbubb mu xonq mi, sulaatal",Substitution,replace | replace | replace
840,"تە فەكك لەەن نوونو, سورگا يوويو ڽوو گێن ا يەيوو ڠێرێم.","te fekk leen noonu, surga yooyu ñoo gën a yeyoo ngërëm.","Te fekk leen noonu, surga yooyu ñoo gën a yeyoo ngërëm.",Majuscule / minuscule,replace
841,نداختە جاڠال نا لەەن اك ساڽ-ساڽ بو سەەني خوتباكات امول.,ndaxte jàngal na leen ak sañ-sañ bu seeni xutbakat amul.,Ndaxte jàngal na leen ak sañ-sañ bu seeni xotbakat amul.,Substitution,replace | replace
842,ناڠا ناڠوو دەم اك مان.,Nanga nangou dem ak man.,nanga nangoo dem ak man.,Duplication / répétition,replace | replace
843,خاراف بي ڠي تاڠ چي جاووو جي,Xaraf bi ngi tàng ci jawwu ji,xaraf bi ngi tàng ci jawuu ji,Substitution,replace | replace
844,ڽو لەكك ڽووم ڽێپپ.,Ñu lekk ñoom ñépp.,ñu lekk ñoom ñépp.,Majuscule / minuscule,replace
845,"ما دێگلو, واايە داما كوي واخ, ڠير","ma déglu, waaye dama koy wax, ngir","ma déglu, waaye dama kuy wax, ngir",Substitution,replace
846,"اند اك ياو چا كاسو, با چي دەە ساخ.»","ànd ak yaw ca kaso, ba ci dee sax.»","yand ak yaw ca kaso, ba ci dee sax.»",Substitution,replace
847,"مێنوڽو ووون ا گێم, نداختە ەسايي دافا واخاات نە:","Mënuñu woon a gëm, ndaxte Esayi dafa waxaat ne:","mënuñu woon a gëm, ndaxte Esayi dafa waxaat ne:",Majuscule / minuscule,replace
848,"مبوولوو مێپپ گيس لوولو, دي سانت ياللا.","Mbooloo mépp gis loolu, di sant Yàlla.","mbooloo mépp gis loolu, di sant yàlla.",Majuscule / minuscule,replace | replace
849,نەككوون. فەكك موو سەەتي ووون يەەسو لو جييتو. مو نە لەەن:,nekkoon. Fekk moo seeti woon Yeesu lu jiitu. Mu ne leen:,yekkoon. Fekk moo seeti woon Yeesu. Mu ne leen:,Erreur multiple / combinaison,replace | delete
850,"ندوخ; مو وێي ناگ چي توپپ فيليب,","ndox; mu wéy nag ci topp Filib,","Ndox; mu wéy nag ci topp filib,",Majuscule / minuscule,replace | replace
851,نەەنال,neenal,eenal,Suppression,delete
852,"سەەني وااجور ساخ اك سەەني دوومي ندەي,","Seeni waajur sax ak seeni doomi ndey,","seeni waajur sax ak seeni doomi ndey,",Majuscule / minuscule,replace
853,"دەخ گي يەڠو نا لوول, نداختە دا دوون ڠەلاو اك دوولە.","Dex gi yengu na lool, ndaxte da doon ngelaw ak doole.","dex gi yengu na lool, ndaxte da doon ngelaw ak doole.",Majuscule / minuscule,replace
854,"تاال بي, نداخ دو لەەن گێن ا وودد?","taal bi, ndax du leen gën a wodd?","taal bi, ndax du leen gën a wudd?",Substitution,replace
855,ڽو بێگگ خام ياللا.,Ñu bëgg xam Yàlla.,ñu bëgg xam Yàlla.,Majuscule / minuscule,replace
856,"يوونو موساا تێلە ووون ا اتتەە نيت ني كو جوب,","yoonu Musaa tële woon a àttee nit ni ku jub,","yoonu Musaa tële woon a àttee nit ni ko jub,",Substitution,replace
857,"خوول يەەسو, با خام دينا كو فاج","xool Yeesu, ba xam dina ko faj","xool yeesu, ba xam dina ko faj",Majuscule / minuscule,replace
858,والل,wàll,wall,Diacritique / accent,replace
859,"لي ما واخ, داما كوي واخ, ني","li ma wax, dama koy wax, ni","li ma wax, dama kuy wax, ni",Substitution,replace
