Ajami,Wolof_attendu,Wolof_predit,categorie_audit
"چيب يونەنت, بي مو ناان:«ووو ناا ساما دووم, مو گێنن ميسرا.»","cib yonent, bi mu naan:«Woo naa sama doom, mu génn Misra.»","yib yonent, bi mu naan:«Oow naa sama doom, mu génn misra.»",Erreur linguistique / structurelle
"وونە ناا سا ندام چي اددينا, نداخ","Wone naa sa ndam ci àddina, ndax","wone naa sa ndam ci àddina, ndax",Casse uniquement
"بااي بي بێگگ نا ما, نداختە داماي","Baay bi bëgg na ma, ndaxte damay","baay bi bëgg na ma, ndaxte damay",Casse uniquement
"بي پوول ەگگەە چا يێەگوكاايو تاتا جا,","Bi Pool eggee ca yéegukaayu tata ja,","bi Pool eggee ca yéegukaayu tata ja,",Casse uniquement
توددە ڽي فارلو چي مووم سەەن رێەو;,tudde Ñi farlu ci moom seen réew;,tudde ñi farlu ci moom seen réew;,Casse uniquement
نداختە مووم لا نو بورووم بي سانت,Ndaxte moom la nu Boroom bi sant,Ndaxte moom la nu boroom bi sant,Casse uniquement
"دالدي جيب. ڽەنن چا خوتباكات, يا بوكك","daldi jib. Ñenn ca xutbakat, ya bokk","daldi jib. Ñenn ca xotbakat, ya bokk",Erreur linguistique / structurelle
"دو يت فيتنا, دو خييف واللا رافلە,","du it fitna, du xiif walla rafle,","du it fitna, du xiif wàlla rafle,",Diacritique uniquement
كو مبيند مي واخە نە: «نوونو لا سا اسكان دي مەلي.»,ko Mbind mi waxe ne: «Noonu la sa askan di meli.»,ko mbind mi waxe ne: «Noonu la sa askan di meli.»,Casse uniquement
"گيس, با كەرا دوومو نيت كي دەككي.»","gis, ba kera Doomu nit ki dekki.»","gis, ba kera doomu nit ki dekki.»",Casse uniquement
جومبااتە,jombaate,jumbaate,Erreur linguistique / structurelle
"ساخ, نەكك گاراب, با پيچچي اساماان ڽێو, تاگگ چيي چارام.»","sax, nekk garab, ba picci asamaan ñëw, tàgg ciy caram.»","sax, nekk garab, ba Picci asamaan ñëw, tàgg ciy caram.»",Casse uniquement
مو نە ما: “سونو ياللاي ماام تانن,Mu ne ma: “Sunu Yàllay maam tànn,mu ne ma: “Sunu Yàllay maam tànn,Casse uniquement
"دي خاملە مبيروم دوومام, يەەسو كيريست سونو","di xamle mbirum Doomam, Yeesu Kirist sunu","di xamle mbirum doomam, Yeesu Kirist sunu",Casse uniquement
يێەخالال,yéexalal,ééealal,Erreur linguistique / structurelle
موي واخ اك دي وەرانتە اك ياووت,Muy wax ak di werante ak Yawut,muy wax ak di werante ak Yawut,Casse uniquement
"واچچە, مااناام چي جێممام, كيريست مي دي","wàcce, maanaam ci jëmmam, Kirist mi di","wàcce, maanaam ci jëmmam, kirist mi di",Casse uniquement
"بي لەەن ياخيا گيسەە, مو نە لەەن:","bi leen Yaxya gisee, mu ne leen:","Bi leen Yaxya gisee, mu ne leen:",Casse uniquement
"چي كاو لوولو ڽو دالدي ڽاان يەەسو, مو سورە سەەن رێەو.","Ci kaw loolu ñu daldi ñaan Yeesu, mu sore seen réew.","ci kaw loolu ñu daldi ñaan yeesu, mu sure seen.réew.",Erreur linguistique / structurelle
تە ڽاانال ڽي لەەن دي سونال.,te ñaanal ñi leen di sonal.,te ñaanal ñi leen di sunal.,Erreur linguistique / structurelle
"چي كاو لوولو نيت ڽێپپ جاپپ سوستەن,","Ci kaw loolu nit ñépp jàpp Sosten,","ci kaw loolu nit ñépp jàpp sosten,",Casse uniquement
"فاريسەن يا, نەتتالي لەەن لا يەەسو دەفوون.","Farisen ya, nettali leen la Yeesu defoon.","farisen ya, nettali leen la Yeesu defoon.",Casse uniquement
"«ديڠەەن توروخ, يێەن واا كوراسين اك واا","«Dingeen torox, yéen waa Korasin ak waa","«Dingeen torox, yéen waa Kurasin ak waa",Erreur linguistique / structurelle
"توول يا, سێف كو بانت, با ڽوي","tool ya, sëf ko bant, ba ñuy","tool ya, sëf ku bant, ba ñuy",Erreur linguistique / structurelle
نجوب,njub,jjub,Erreur linguistique / structurelle
"دوومو ماريااما تە ماگو سااگ, يووسوفا, يودا","doomu Maryaama te magu Saag, Yuusufa, Yuda","doomu Maryaama te magu saag, yuusufa, Yuda",Casse uniquement
"بو تااليبە يەمەە اك كيليفاام دەمين, دوي","Bu taalibe yemee ak kilifaam demin, doy","Bu taalibe yemee ak kilifaam demin, duy",Erreur linguistique / structurelle
لەەن كو دەفال; نداختە لوولو موو ێمب,leen ko defal; ndaxte loolu moo ëmb,leen ku defal; ndaxte loolu moo ëmb,Erreur linguistique / structurelle
"كون نانو باييەە تەگانتە تووڽ, واايە نو","Kon nanu bàyyee tegante tooñ, waaye nu","kon nanu bàyyee tegante tuuñ, waaye nu",Erreur linguistique / structurelle
چا گاننااو ێللێگ سا ڽو فەكك كو,Ca gannaaw ëllëg sa ñu fekk ko,ca gannaaw ëllëg sa ñu fekk ku,Erreur linguistique / structurelle
لي ما يندي چي كورەەلو اتتەكات ييي,Li ma indi ci kureelu àttekat yii,li ma indi ci koreelu àttekat yiy,Erreur linguistique / structurelle
"بو فێگگەە بونت با, ڽو وببيل كو چا ساا سا.","bu fëggee bunt ba, ñu ubbil ko ca saa sa.","bu féggee bunt ba, ñu bbbil ko ca saa sa.",Erreur linguistique / structurelle
"ناگ, ڠا تەگ كو ني كو گێمول ياللا مباا اب جووتيكات.","nag, nga teg ko ni ku gëmul Yàlla mbaa ab juutikat.","yag, nga teg ku ni ko gëmul Yàlla mbaa ab juutikat.",Erreur linguistique / structurelle
ڽو نە كو: «بان فيرندە ڠا نو,Ñu ne ko: «Ban firnde nga nu,ñu ne ko: «Ban firnde nga nu,Casse uniquement
خێيەە,xëyee,xéyee,Diacritique uniquement
"ناافێق, جێككال ا ديندي گانج گي چي","Naaféq, jëkkal a dindi gànj gi ci","naaféq, jëkkal a dindi gànj gi ci",Casse uniquement
كون ناگ ياووت يو بارە گێم اك,Kon nag Yawut yu bare gëm ak,kon nag yawut yu bare gëm ak,Casse uniquement
نداختە خامال ناا لەەن كاددو يي ڠا,ndaxte xamal naa leen kàddu yi nga,Ndaxte xamal naa leen kàddu yi nga,Casse uniquement
"سەەن بااي بي چي كاو باال لەەن سەەني تووڽ, يێەن يتام.»","seen Baay bi ci kaw baal leen seeni tooñ, yéen itam.»","Yeen baay bi ci kaw baal leen seeni tooñ, yéen itam.»",Erreur linguistique / structurelle
ا تووتي چي جيوو يێپپ;,a tuuti ci jiwu yépp;,a tooti ci jiwu yépp;,Erreur linguistique / structurelle
"رێب ميي, نداختە امول دارا لو كو وارال.»","rëb mii, ndaxte amul dara lu ko waral.»","rëb miy, ndaxte amul dara lu ko waral.»",Erreur linguistique / structurelle
"تەەروب سەڽسەرە, مو واتلو بوپپام, نداختە ام","teerub Señsere, mu watlu boppam, ndaxte am","Teerub señsere, mu wàtlu boppam, ndaxte am",Casse + diacritique
واايە سونوي باككان ساخ خاج نا چي.»,waaye sunuy bakkan sax xaj na ci.»,waaye sunuy bàkkan sax xaj na ci.»,Diacritique uniquement
مي جوددوو انچوس تە تووب چي يوونو ياووت يا.,mi juddoo Ancos te tuub ci yoonu Yawut ya.,mi juddoo ancos te tuub ci yoonu Yawut ya.,Casse uniquement
يەەسو نە لەەن اتي: «لي گێنن چي,Yeesu ne leen ati: «Li génn ci,Yeesu ne leen àti: «Li génn ci,Diacritique uniquement
"رێي, ڽو اند اك مووم بێگ.","réy, ñu ànd ak moom bég.","réy, ñu ànd ak moom bëg.",Diacritique uniquement
ماريااما نە كو: «جااموب بورووم بي لاا.,Maryaama ne ko: «Jaamub Boroom bi laa.,maryaama ne ko: «Jaamub boroom bi laa.,Casse uniquement
"بااخ بو كاددوگ بورووم بي, ڽووم اك ڽەنەەن ڽو بارە.","baax bu kàddug Boroom bi, ñoom ak ñeneen ñu bare.","baax bu kàddug boroom bi, ñoom ak ñeneen ñu bare.",Casse uniquement
"جاار چي واللي فەنيسي اك ساماري, دي","jaar ci wàlli Fenisi ak Samari, di","jaar ci walli fenisi ak samari, di",Casse + diacritique
"نەكك لەەرو ڽي دول ياووت,ڠير ڠا يۆببو","nekk leeru ñi dul Yawut,ngir nga yóbbu","Eekk leeru ñi dul Yawut,ngir nga yóbbu",Erreur linguistique / structurelle
راڠو,ràngu,rangu,Diacritique uniquement
"ياووت يا تامبالي دي ڽورومتوو يەەسو, نداختە","Yawut ya tàmbali di ñurumtoo Yeesu, ndaxte","yawut ya tàmbali di ñoromtoo yeesu, ndaxte",Erreur linguistique / structurelle
انا بورووم خام-خام بي? انا كااڠ مي?,Ana boroom xam-xam bi? Ana kaaŋ mi?,ana boroom xam-xam bi? Ana kaaŋŋ mi?,Erreur linguistique / structurelle
يەەسو يتام سوگ ا دەم تە كەنن يێگو كو; سييوالول دەمام.,Yeesu itam sog a dem te kenn yégu ko; siiwalul demam.,Yeesu itam sug a dem te kenn yégu ko; Siiwalul demam.,Erreur linguistique / structurelle
"گۆور اك جيگێەن, دي گێم بورووم بي, تەي تاق چي ڽووم.","góor ak jigéen, di gëm Boroom bi, tey taq ci ñoom.","góor ak jigéen, di gëm boroom bi, tey tàq ci ñoom.",Casse + diacritique
"كو: ‘بااي, تووڽ ناا ياللا, تووڽ ناا لا;","ko: ‘Baay, tooñ naa Yàlla, tooñ naa la;","ko: «Baay, tooñ naa yàlla, tooñ naa la;",Erreur linguistique / structurelle
چا ساا سا مو دالدي گيس. نوونو,Ca saa sa mu daldi gis. Noonu,ca saa sa mu daldi gis. Noonu,Casse uniquement
راگال اي جێفام دي فەەڽ بێچچێگو نداراكامم.,ragal ay jëfam di feeñ bëccëgu ndarakàmm.,ragal ay jëfam di feeñ bëccëgu ndarakamm.,Diacritique uniquement
"دالدي جۆگ, تە چا ڽاارەەلو فان با نو تەەر پوسول.","daldi jóg, te ca ñaareelu fan ba nu teer Pusol.","Yàldi jóg, te ca ñaareelu fan ba nu teer posul.",Erreur linguistique / structurelle
"كيريست اك چي بێگگانتە, گي خەلو ياللا","Kirist ak ci bëggante, gi Xelu Yàlla","Kirist ak ci bëggante, gi xelu Yàlla",Casse uniquement
سورگا بو بااخ ڠا تە تاككو. گاننااو,surga bu baax nga te takku. Gannaaw,sorga bu baax nga te takku. Gannaaw,Erreur linguistique / structurelle
"كو دێگلو تە ناڠو واخي بااي بي, دينا ڽێو چي مان.","ku déglu te nangu waxi Baay bi, dina ñëw ci man.","ku déglu te nangu waxi baay bi, dina ñëw ci man.",Casse uniquement
مو نە مبوولوو ما: «ام نا جورۆوم-بەنني,mu ne mbooloo ma: «Am na juróom-benni,Mu ne mbooloo ma: «Am na juróom-benni,Casse uniquement
بااي بي دەم چي ونيڤەرسيتێ بي,Baay bi dem ci université bi,baay bi dem ci université bi,Casse uniquement
واايە ڽوي يووخو ناان: «دااج كو چي,Waaye ñuy yuuxu naan: «Daaj ko ci,waaye ñuy yuuxu naan: «Daaj ko ci,Casse uniquement
لو ڠاي دەف چي گوددي.,Lu ngay def ci guddi.,lu ngay def ci guddi.,Casse uniquement
جورتوون,jortoon,jurtoon,Erreur linguistique / structurelle
گي نەە نا: ساما جامونو جەگە نا;,gi nee na: Sama jamono jege na;,gi nee na: sama jamono jege na;,Casse uniquement
لي ڽوي واخ اگ ندوف چا واللو,Li ñuy wax ag ndof ca wàllu,li ñuy wax ag ndof ca wàllu,Casse uniquement
هوود,huud,huuu,Erreur linguistique / structurelle
او ييو; مو ڠي اك ياو.»,aw yiw; mu ngi ak yaw.»,waw yiw; mu ngi ak yaw.»,Erreur linguistique / structurelle
"بااي بي چي كاو جيوول, دەەس نا كو بوددي.","Baay bi ci kaw jiwul, dees na ko buddi.","baay bi ci kaw jiwul, dees na ko buddi.",Casse uniquement
نەككلەەن,nekkleen,ekkleen,Erreur linguistique / structurelle
اجي كاوە جي; كا چاي دوگگ مووي,Aji Kawe ji; ka cay dugg mooy,Aji kawe ji; ka cay dugg mooy,Casse uniquement
مبير يو گێن ا رێي ييي.»,mbir yu gën a réy yii.»,mbir yu gën a réy yiy.»,Erreur linguistique / structurelle
"اك ساماي بوكك لوسييوس, ياسون اك سوسيپاتەر.","ak samay bokk Lusiyus, Yason ak Sosipater.","ak samay bokk lusiyus, Yason ak sosipater.",Casse uniquement
"جاڠورو يي دي لەەن باييي, راب ياي گێنن چي ڽووم.","jàngoro yi di leen bàyyi, rab yay génn ci ñoom.","jànguru yi di leen bàyyi, rab yay génn ci ñoom.",Erreur linguistique / structurelle
موساا ناگ دي كو يەەوو چي خام-خامو,Musaa nag di ku yeewu ci xam-xamu,Musaa nag di ko yeewu ci xam-xamu,Erreur linguistique / structurelle
يودە. يووسوفاا ڠا بوككوون چا كورەەلو اتتەكات,Yude. Yuusufaa nga bokkoon ca kureelu àttekat,Yude. Yuusufaa nga bokkoon ca koreelu àttekat,Erreur linguistique / structurelle
لي دووم جي گانە اددينا.,li doom ji gane àddina.,li doom ji gane addina.,Diacritique uniquement
فاسوووون,fasuwoon,fasooun,Erreur linguistique / structurelle
فووفا ڽو تامبالي دي كو سوسال ناان:,Foofa ñu tàmbali di ko sosal naan:,foofa ñu tàmbali di ko sosal naan:,Casse uniquement
"بوو گێمەە, ديڠا گيس ندامو ياللا?»","boo gëmee, dinga gis ndamu Yàlla?»","yoo gëmee, dinga gis ndamu Yàlla?»",Erreur linguistique / structurelle
"باككان, با مەل ني كو ڽو دااج","bakkan, ba mel ni ku ñu daaj","bàkkan, ba mel ni ku ñu daaj",Diacritique uniquement
يێەمە,yéeme,ééeme,Erreur linguistique / structurelle
يێەن,yéen,ééen,Erreur linguistique / structurelle
ڠەەن ما لااج?» ڽو تونتو كو: «وااو ساڠ بي.»,ngeen ma laaj?» Ñu tontu ko: «Waaw Sang bi.»,ngeen ma laaj?» Ñu tontu ko: «Waaw sàng bi.»,Casse + diacritique
بووبا ناگ ڽيي ڽوو اند اك مووم:,Booba nag ñii ñoo ànd ak moom:,booba nag ñiy ñoo and ak moom:,Erreur linguistique / structurelle
"كو ما تەگ ساماي لوخو, ڠا جوت خەل مو سەلل مي.»","ku ma teg samay loxo, nga jot Xel mu Sell mi.»","ku ma teg samay loxo, nga jot xel mu Sell mi.»",Casse uniquement
لووسام,loosam,luusam,Erreur linguistique / structurelle
"خاناا نون ڽێپپ, دانو دول داجەجي فا","Xanaa nun ñépp, danu dul dajeji fa","xanaa nun ñépp, danu dul dajeji fa",Casse uniquement
چا ێللێگ سا نو تەەر سيدون; يوليوس,Ca ëllëg sa nu teer Sidon; Yulyus,ca ëllëg sa nu teer sidon; Yuliws,Erreur linguistique / structurelle
ماا ڠي ناان ندوخ.,Maa ngi naan ndox.,maa ngi naan ndox.,Casse uniquement
"بو جيگێەن بو تودد تابيتا, ليي تەككي","bu jigéen bu tudd Tabita, liy tekki","Bu jigéen bu tudd tabita, liy tekki",Casse uniquement
سونو بيير! ياللا واللوسي نا مبوولووم!»,sunu biir! Yàlla wallusi na mbooloom!»,Yunu biyr! Yàlla wàllusi na mbooloom!»,Erreur linguistique / structurelle
"بي ڽوي وەرانتە, بەنن خوتباكات ڽێو, دێگگ","Bi ñuy werante, benn xutbakat ñëw, dégg","Bi ñuy werante, benn xutbakat ñëw, dëgg",Diacritique uniquement
"مي اك ساگو, نو دێنك لەەن ليگگێەي بيي.","mi ak sago, nu dénk leen liggéey bii.","mi ak sagu, nu dénk leen liggéey bii.",Erreur linguistique / structurelle
اب,ab,bab,Erreur linguistique / structurelle
"نو ووت تااليبە يا, با گيس لەەن,","Nu wut taalibe ya, ba gis leen,","nu wut taalibe ya, ba gis leen,",Casse uniquement
گاراب گي گودد نا بو رێي.,Garab gi gudd na bu rëy.,garab gi gudd na bu réy.,Casse + diacritique
"لافاڽ بي خوول لەەن, يااكاار نە دينا جوت دارا چي ڽووم.","Lafañ bi xool leen, yaakaar ne dina jot dara ci ñoom.","lafañ bi xool leen, yaakaar ne dina jot dara ci ñoom.",Casse uniquement
نجييتو مبوولوو مو ڽوي واخ ناسارێەن.,njiitu mbooloo mu ñuy wax Nasaréen.,Yàitu mbooloo mu ñuy wax nasaréen.,Erreur linguistique / structurelle
چا واختو ووووو كەنن چي فوككي تااليبە,Ca waxtu woowu kenn ci fukki taalibe,ca waxtu woowu kenn ci fukki taalibe,Casse uniquement
كەرووگ لا نجييتي ياووت يا دوگو چي رەي يەەسو.,Keroog la njiiti Yawut ya dogu ci rey Yeesu.,keroog la njiiti yawut ya dugu ci rey Yeesu.,Erreur linguistique / structurelle
ماڠي لاي ڽاانال جامم,Mangi lay ñaanal jamm,màngi lay ñaanal jàmm,Casse + diacritique
فاتتەە,fàttee,àttee,Erreur linguistique / structurelle
"مان چي ڽووم, ياو يت چي مان,","Man ci ñoom, yaw it ci man,","man ci ñoom, yaw it ci man,",Casse uniquement
نداختە بااي بي چي بوپپام بێگگ نا,ndaxte Baay bi ci boppam bëgg na,Ndaxte baay bi ci boppam bégg na,Casse + diacritique
"گاايام يو سەلل, نا لەەن ياللا سونو","gaayam yu sell, na leen Yàlla sunu","Gaayam yu sell, na leen Yàlla sunu",Casse uniquement
"اي ليير, ڠير مو تەگ لەەن اي","ay liir, ngir mu teg leen ay","ay liyr, ngir mu teg leen ay",Erreur linguistique / structurelle
فوو جێم چي ساما ليگگێەي.,Foo jëm ci sama liggéey.,foo jëm ci sama liggéey.,Casse uniquement
ماا جي دۆوم بي.,Maa ji dóom bi.,maa ji dóom bi.,Casse uniquement
«بي ما كو دەفەە كو تودد اناڽاس,«Bi ma ko defee ku tudd Anañas,«Bi ma ko defee ko tudd anañas,Erreur linguistique / structurelle
"ڽو سوممي مبوبب مو خونق مي, سولااتال","ñu summi mbubb mu xonq mi, solaatal","Ñu sommi mbubb mu xonq mi, sulaatal",Erreur linguistique / structurelle
"تە فەكك لەەن نوونو, سورگا يوويو ڽوو گێن ا يەيوو ڠێرێم.","te fekk leen noonu, surga yooyu ñoo gën a yeyoo ngërëm.","Te fekk leen noonu, surga yooyu ñoo gën a yeyoo ngërëm.",Casse uniquement
نداختە جاڠال نا لەەن اك ساڽ-ساڽ بو سەەني خوتباكات امول.,ndaxte jàngal na leen ak sañ-sañ bu seeni xutbakat amul.,Ndaxte jàngal na leen ak sañ-sañ bu seeni xotbakat amul.,Erreur linguistique / structurelle
ناڠا ناڠوو دەم اك مان.,Nanga nangou dem ak man.,nanga nangoo dem ak man.,Erreur linguistique / structurelle
خاراف بي ڠي تاڠ چي جاووو جي,Xaraf bi ngi tàng ci jawwu ji,xaraf bi ngi tàng ci jawuu ji,Erreur linguistique / structurelle
ڽو لەكك ڽووم ڽێپپ.,Ñu lekk ñoom ñépp.,ñu lekk ñoom ñépp.,Casse uniquement
"ما دێگلو, واايە داما كوي واخ, ڠير","ma déglu, waaye dama koy wax, ngir","ma déglu, waaye dama kuy wax, ngir",Erreur linguistique / structurelle
"اند اك ياو چا كاسو, با چي دەە ساخ.»","ànd ak yaw ca kaso, ba ci dee sax.»","yand ak yaw ca kaso, ba ci dee sax.»",Erreur linguistique / structurelle
"مێنوڽو ووون ا گێم, نداختە ەسايي دافا واخاات نە:","Mënuñu woon a gëm, ndaxte Esayi dafa waxaat ne:","mënuñu woon a gëm, ndaxte Esayi dafa waxaat ne:",Casse uniquement
"مبوولوو مێپپ گيس لوولو, دي سانت ياللا.","Mbooloo mépp gis loolu, di sant Yàlla.","mbooloo mépp gis loolu, di sant yàlla.",Casse uniquement
نەككوون. فەكك موو سەەتي ووون يەەسو لو جييتو. مو نە لەەن:,nekkoon. Fekk moo seeti woon Yeesu lu jiitu. Mu ne leen:,yekkoon. Fekk moo seeti woon Yeesu. Mu ne leen:,Erreur linguistique / structurelle
"ندوخ; مو وێي ناگ چي توپپ فيليب,","ndox; mu wéy nag ci topp Filib,","Ndox; mu wéy nag ci topp filib,",Casse uniquement
نەەنال,neenal,eenal,Erreur linguistique / structurelle
"سەەني وااجور ساخ اك سەەني دوومي ندەي,","Seeni waajur sax ak seeni doomi ndey,","seeni waajur sax ak seeni doomi ndey,",Casse uniquement
"دەخ گي يەڠو نا لوول, نداختە دا دوون ڠەلاو اك دوولە.","Dex gi yengu na lool, ndaxte da doon ngelaw ak doole.","dex gi yengu na lool, ndaxte da doon ngelaw ak doole.",Casse uniquement
"تاال بي, نداخ دو لەەن گێن ا وودد?","taal bi, ndax du leen gën a wodd?","taal bi, ndax du leen gën a wudd?",Erreur linguistique / structurelle
ڽو بێگگ خام ياللا.,Ñu bëgg xam Yàlla.,ñu bëgg xam Yàlla.,Casse uniquement
"يوونو موساا تێلە ووون ا اتتەە نيت ني كو جوب,","yoonu Musaa tële woon a àttee nit ni ku jub,","yoonu Musaa tële woon a àttee nit ni ko jub,",Erreur linguistique / structurelle
"خوول يەەسو, با خام دينا كو فاج","xool Yeesu, ba xam dina ko faj","xool yeesu, ba xam dina ko faj",Casse uniquement
والل,wàll,wall,Diacritique uniquement
"لي ما واخ, داما كوي واخ, ني","li ma wax, dama koy wax, ni","li ma wax, dama kuy wax, ni",Erreur linguistique / structurelle
ياووت يا وێر كو نە كو: «كاڽ,Yawut ya wër ko ne ko: «Kañ,yawut ya wér ko ne ko: «Kañ,Casse + diacritique
"ڽي چي دەس نە, يااي كەنن چي","ñi ci des ne, yaay kenn ci","Ñi ci des ne, yaay kenn ci",Casse uniquement
"واايە دەملەەن چي بانني يسراييل, ڽووم ڽي رێەر نيي خار.","Waaye demleen ci bànni Israyil, ñoom ñi réer niy xar.","waaye demleen ci bànni Israyil, ñoom ñi réer niy xar.",Casse uniquement
"مو ماگ چي گەرەگ يي راگال ياللا,","mu mag ci Gereg yi ragal Yàlla,","mu mag ci gereg yi ragal Yàlla,",Casse uniquement
واسينەە,wasinee,assinee,Erreur linguistique / structurelle
"يەەسوم ناسارەت, بوورو ياووت يي.»","Yeesum Nasaret, buuru Yawut yi.»","yeesum Nasaret, buuru yawut yi.»",Casse uniquement
"نوونو سەيتاانە دالدي سولو يوداا, مي ڽوي","Noonu Seytaane daldi solu Yudaa, mi ñuy","Noonu seytaane daldi solo yudaa, mi ñuy",Erreur linguistique / structurelle
مەلوكااني,melokaani,melukaani,Erreur linguistique / structurelle
"گيسەە نە يەەسو راخاسووول, لااتا موي لەكك.","gisee ne Yeesu raxasuwul, laata muy lekk.","gisee ne Yeesu raxasooul, laata muy lekk.",Erreur linguistique / structurelle
"كەنەەن چا تااليبە يا دي اندارە, مي","Keneen ca taalibe ya di Andare, mi","keneen ca taalibe ya di andare, mi",Casse uniquement
بووبا اموون نا فا باممەەل بو ڽو موسول ا سوول كەنن.,booba amoon na fa bàmmeel bu ñu musul a suul kenn.,Booba amoon na fa bàmmeel bu ñu musul a sool kenn.,Erreur linguistique / structurelle
"بێس مو نە چي خەلام: “راگالوما ياللا تە فاالەووما مبيندەەف,","bés mu ne ci xelam: “Ragaluma Yàlla te faalewuma mbindeef,","Bés mu ne ci xelam: “ragaluma Yàlla te fàalewuma mbindeef,",Casse + diacritique
مو دالدي لەەن نەتتالي لي مو كو واخ.,Mu daldi leen nettali li mu ko wax.,mu daldi leen nettali li mu ko wax.,Casse uniquement
"ڽو گيسەە نيت, كا ساچچ يا دوگالە ووون?»","ñu gisee nit, ka sàcc ya dogale woon?»","ñu gisee nit, ka sàcc ya dugale woon?»",Erreur linguistique / structurelle
"يەروسالەم, ڠير ڽو يار لەەن.","Yerusalem, ngir ñu yar leen.","yerusalem, ngir ñu yar leen.",Casse uniquement
ياللا يۆنني ووون نا نيت كو ڽو ناان ياخيا.,Yàlla yónni woon na nit ku ñu naan Yaxya.,Yàlla yónni woon na nit ku ñu naan yaxya.,Casse uniquement
"اك ياللا, تە كاددو گي ياللا لا ووون.","ak Yàlla, te Kàddu gi Yàlla la woon.","ak Yàlla, te kàddu gi Yàlla la woon.",Casse uniquement
وووتەەك,wuuteek,wooteek,Erreur linguistique / structurelle
چێري,cëri,céri,Diacritique uniquement
دي دێگێرال مبوولووي ڽي گێم.,di dëgëral mboolooy ñi gëm.,di dégëral mboolooy ñi gëm.,Diacritique uniquement
ندانك,ndank,ddnakk,Erreur linguistique / structurelle
نو موسال چي مەروم ياللا.,nu musal ci merum Yàlla.,uusal ci merum Yàlla.,Erreur linguistique / structurelle
نەتتاليل,nettalil,eetil,Erreur linguistique / structurelle
واايە گوددي گووگو جاپپوڽو دارا.,Waaye guddi googu jàppuñu dara.,waaye guddi googu jàppuñu dara.,Casse uniquement
ساككان,sakkan,sàkkan,Diacritique uniquement
"مو داو, دەم چا سيموڠ پييەەر اك","Mu daw, dem ca Simoŋ Piyeer ak","mu daw, dem ca simoŋ Piyeer ak",Casse uniquement
دوون,duun,doon,Erreur linguistique / structurelle
"ما ڽااري ميليوڠ, سەەتال, امە ناا چي يەنەەن ڽاار.”","ma ñaari milyoŋ, seetal, ame naa ci yeneen ñaar.”","ma ñaari milioŋ, seetal, ame naa ci yeneen ñaar.”",Erreur linguistique / structurelle
واايە جارااف جا امول لو مو فەيە.,waaye jaraaf ja amul lu mu feye.,Waaye jaraaf ja amul lu mu feye.,Casse uniquement
"واايە لي خام-خامو ياللا دي جور, مووي فيرندەەل نە دێگگ لا.»","Waaye li xam-xamu Yàlla di jur, mooy firndeel ne dëgg la.»","waaye li xam-xamu Yàlla di jur, mooy firndeel la.»",Erreur linguistique / structurelle
مو جێكك ا فەەڽو ماريااما مو دێكك,mu jëkk a feeñu Maryaama mu dëkk,Mu jëkk a feeñu maryaama mu dëkk,Casse uniquement
"ندوخ اك چي خەلوم ياللا, دوو مان","ndox ak ci Xelum Yàlla, doo man","Ndox ak ci xelum Yàlla, doo man",Casse uniquement
لێو,léw,lëw,Diacritique uniquement
ڽو ڠي دوون ووت ا جاپپ يەەسو,ñu ngi doon wut a jàpp Yeesu,Ñu ngi doon wut a jàpp yeesu,Casse uniquement
"مو سەلل ميي لەەرال, سەەدەەل نا ما نە, دێگگ لااي واخ.","mu Sell miy leeral, seedeel na ma ne, dëgg laay wax.","mu sell miy leeral, seedeel na ma ne, dégg laay wax.",Casse + diacritique
"خوتباكات يا. ديناڽو كو اتتە, تەگ كو","xutbakat ya. Dinañu ko àtte, teg ko","xutbakat ya. Dinañu ko àtte, teg ku",Erreur linguistique / structurelle
لێەگي ناگ يێەنا ڠي ماي ووت ا,Léegi nag yéena ngi may wut a,léeeyi nag yéena ngi may wut a,Erreur linguistique / structurelle
گاننااو لوولو مو نە لەەن: «كو سا,Gannaaw loolu mu ne leen: «Ku sa,gannaaw loolu mu ne leen: «Ku sa,Casse uniquement
"ڽێو چي مووم, ناان كو: “اتتە ما اك ساما نوون!”","ñëw ci moom, naan ko: “Àtte ma ak sama noon!”","yëw ci moom, naan ko: “àtte ma ak sama noon!”",Erreur linguistique / structurelle
ڽااري تێەمێەري خارەكات اك جورۆوم-ڽاار-فوككي گاوار اك,ñaari téeméeri xarekat ak juróom-ñaar-fukki gawar ak,Ñaari téeméeri xarekat ak juróom-ñaar-fukki gawar ak,Casse uniquement
"يت كان مووي بااي بي, كو دول","it kan mooy Baay bi, ku dul","it kan mooy baay bi, ku dul",Casse uniquement
چي كاو لوولو پوول تونتو نە: «لو,Ci kaw loolu Pool tontu ne: «Lu,ci kaw loolu Pool tontu ne: «Lu,Casse uniquement
چي كاو لوولو يەەسو تونتو كو نە:,Ci kaw loolu Yeesu tontu ko ne:,ci kaw loolu Yeesu tontu ko ne:,Casse uniquement
"ڽاار نديگال يوويو, مو جۆگە فا, ڠير","ñaar ndigal yooyu, mu jóge fa, ngir","Ñaar ndigal yooyu, mu jóge fa, ngir",Casse uniquement
"«ياا دي الماسي بي, دوومو ياللا اجي دوند جي.»","«Yaa di Almasi bi, Doomu Yàlla Aji Dund ji.»","«Yaa di Almasi bi, doomu Yàlla Aji dund ji.»",Casse uniquement
